2011-1-1,-6,753,ЮВ 3м/с,-6,753,ЮВ 3м/с
2011-08-08,+27,751,ЮЗ 2м/с,+18,751,ЮЗ 2м/с
2011-08-09,+29,752,ЮЗ 3м/с,+23,751,ЮЗ 3м/с
2011-08-10,+32,752,СЗ 2м/с,+22,752,СЗ 2м/с
2011-08-11,+31,751,В 2м/с,+26,750,В 2м/с
2011-08-12,+34,748,СВ 2м/с,+28,749,СВ 2м/с
2011-08-13,+28,748,В 2м/с,+25,748,В 2м/с
2011-08-14,+29,747,В 2м/с,+26,747,В 2м/с
2012-08-06,+32,748,С 1м/с,+28,749,С 1м/с
2012-08-07,+31,750,СЗ 2м/с,+26,750,СЗ 2м/с
2012-08-08,+33,749,С 1м/с,+23,748,С 1м/с
2012-08-09,+37,745,З 1м/с,+23,748,З 1м/с
2012-08-10,+29,745,С 2м/с,+20,745,С 2м/с
2012-08-11,+22,747,СЗ 2м/с,+21,748,СЗ 2м/с
2012-08-12,+27,750,СВ 2м/с,+24,750,СВ 2м/с
2013-08-05,+21,743,СВ 1м/с,+23,743,СВ 1м/с
2013-08-06,+28,742,С 2м/с,+21,743,С 2м/с
2013-08-07,+18,744,С 2м/с,+16,745,С 2м/с
2013-08-08,+20,744,С 2м/с,+18,745,С 2м/с
2013-08-09,+23,745,С 2м/с,+20,746,С 2м/с
2013-08-10,+26,745,СВ 2м/с,+18,746,СВ 2м/с
2013-08-11,+29,748,З 1м/с,+19,748,З 1м/с
2014-08-04,+24,746,С 2м/с,+21,745,С 2м/с
2014-08-05,+24,745,В 4м/с,+18,746,В 4м/с
2014-08-06,+26,747,В 2м/с,+21,747,В 2м/с
2014-08-07,+31,748,В 2м/с,+26,748,В 2м/с
2014-08-08,+31,746,В 3м/с,+27,746,В 3м/с
2014-08-09,+35,741,Ю 3м/с,+24,741,Ю 3м/с
2014-08-10,+29,742,З 3м/с,+22,743,З 3м/с
